,app_name,Score,criticals,warn,notice,info
0,air.apps.NewsEnterprise.surinamenieuws,56,2,4,4,42
1,aesthetic.developers.flyingbirdy,56,2,6,3,41
2,air.Chemical,54,1,5,6,40
3,air.brightest.chinatractorracing2,58,3,5,6,38
4,air.air.HTML5MobileApp,52,0,1,1,50
5,air.br.com.netpoint.gdp,61,4,6,7,36
6,air.BestEscape82WaterPool,58,3,6,6,37
7,air.agara.games.ChessmasterFree,63,5,5,4,39
8,air.carlene.ZombieVirus,52,0,1,1,50
9,air.ca.ax2.holidaySnapshot,58,3,4,3,42
10,air.apps.NewsEnterprise.gazeteler,56,2,4,4,42
11,air.ajazgames.colorsquareescape,58,3,6,6,37
12,air.BasketballHustleForCel,56,2,4,4,42
13,air.ArabicLetterBox,62,5,7,6,34
14,air.co.yapps.ezan,58,3,5,5,39
15,act.activity,52,0,0,2,50
16,ae.brandsforless.android,61,4,7,9,33
17,air.br.com.netpoint.integraeventos,60,4,6,4,38
18,air.br.com.netpoint.remateweb,61,4,6,7,36
19,air.com.applauz.wutangme,58,3,5,6,38
20,air.cellphoneescape,54,1,4,4,43
21,aidc.mx.efireport,64,6,4,6,36
22,aidapp.newsportalhimachalpradesh,58,3,6,4,39
23,air.com.alchemiagames.offside,58,3,5,7,37
24,air.babyshapes,58,3,7,4,38
25,ahmed.restau,63,5,6,6,36
26,adampinsky.com.stormy,52,0,0,2,50
27,air.atasaati,52,0,1,1,50
28,air.BlackjackCity,60,4,6,6,36
29,air.AJAZGAMES.escapeabandonedgreyshades,58,3,6,6,37
30,air.A3bibe,58,3,5,6,38
31,air.com.apptaught.MEDpro,58,3,5,3,41
32,air.br.com.netpoint.vconf,61,4,6,7,36
33,air.BeautyTipsinTamil,60,4,5,6,37
34,a.akakao.bong,52,0,1,2,49
35,air.ChaletGrandCerfEscape,54,1,4,5,42
36,air.br.com.helme.bitbitrobotandroid,58,3,5,4,40
37,a2works.com.br.ipva,58,3,5,4,40
38,ads.storestory.be.blackdragon,54,1,3,5,43
39,air.ajazgames.escapepickypicnic,60,4,6,6,36
40,air.animations,58,3,5,4,40
41,air.com.aetrex.aetrexretailapp,58,3,5,4,40
42,abhishek.arcdroid.tenth,52,0,0,1,51
43,acs.borntf.ncs,56,2,4,4,42
44,air.apps.NewsEnterprise.voetbalnieuws,56,2,4,4,42
45,ah.woeid,61,4,7,6,36
46,adikar.com.photogifmaker,62,5,5,6,36
47,air.com.amazingzhus.amazingzhus,58,3,5,4,40
48,adtech.chitchat,61,4,5,8,36
49,air.com.applauz.brickpic,58,3,5,6,38
50,air.A40haditsakhirzaman,58,3,5,6,38
51,air.br.com.buracojustificadomano.mobile,62,5,6,7,34
52,air.com.abecedaire.JapaneseBrush,58,3,5,4,40
53,air.br.com.epagri.ciram,58,3,4,4,41
54,air.com.applauz.drizzyviews,58,3,5,6,38
55,adsprotech.games.ball.shooter.two,56,2,6,5,39
56,air.bg.teracomm.vivablitz,63,5,7,6,35
57,addis.keyboard,57,2,4,6,41
58,a2z.Mobile.Event3478,58,3,5,11,33
59,air.Christmascoloringbook3,58,3,5,6,38
60,air.Bus,54,1,5,6,40
61,adrianoferraguto.oraesatta,56,2,2,3,45
62,air.air.monsterbraingames.cutit,58,3,5,3,41
63,air.com.aminocookinchklo.selasaharablila,60,4,5,6,37
64,adsindy.com.terla,58,3,6,5,38
65,air.apps.NewsEnterprise.lesjournauxenfrancais,56,2,4,4,42
66,air.apps.NewsEnterprise.indianewspapers,56,2,4,4,42
67,air.apps.NewsEnterprise.canadanewspapers,56,2,4,4,42
68,air.air.Bread,58,3,4,3,42
69,air.ajazgames.escapepixiedivine,58,3,6,6,37
70,air.BabyBearSurgerySimulator,60,4,6,6,36
71,air.AngryNuts,56,2,4,4,42
72,air.com.applaudsolutions.emp.EmployeeCenterMobile,54,1,1,2,48
73,air.apps.NewsEnterprise.mediatakeout,56,2,4,4,42
74,ac.robinson.mediaphone,54,1,1,4,46
75,air.br.com.netpoint.integragestao,61,4,6,7,36
76,air.A20rarepepes,56,2,1,2,47
77,ae.gov.dubaicustoms.mobile,54,1,2,1,48
78,afd.app.ansaar.afd,60,4,4,5,39
79,air.ChiralCube,54,1,4,6,41
80,air.BadjaoGirl,58,3,5,6,38
81,air.BodyAtlas,52,0,1,1,50
82,abd.abdallah.uptodate.youtube,69,8,7,7,31
83,adone.daily.call,54,1,2,2,47
84,air.air.it.aquacode.memory.AquaMemory,54,1,4,3,44
85,air.BabyCleaningDay2,58,3,5,4,40
86,air.com.ami.agada,58,3,4,4,41
87,abd.abdallah.islam.youtube,69,8,7,7,31
88,aidapp.newsportaltamilnadu,58,3,6,4,39
89,air.charmudex,58,3,5,3,41
90,air.ajazgames.escapegamesultan,58,3,6,6,37
91,air.com.apptaught.realestateTrial,58,3,5,3,41
92,afk.passpal.free,52,0,3,3,46
93,a.a.hikidashi,54,1,3,3,45
94,a2works.com.br.ipva,61,4,6,7,36
95,air.AIRMapViewer,52,0,1,1,50
96,ae.gov.ambulance.myarabic2,56,2,2,4,44
97,air.ajazgames.pumpkinboyhalloweenescape,58,3,6,6,37
98,agexdev.theroad,58,3,5,4,40
99,air.br.com.netpoint.conacabac,59,3,7,5,38
100,air.br.ingrupochp.boletimEmpreendedor,54,1,2,1,48
101,air.AThanksgivingToRemember,56,2,4,3,43
102,air.br.com.ciss.mobile.vendas.android,54,1,1,2,48
103,air.air.flexshapes,54,1,4,2,45
104,a.duMobile.srv,54,1,1,3,47
105,air.ajazgames.skimpyescape,58,3,6,6,37
106,adroid.driverlad,60,4,3,5,40
107,agency.contra.apps.kpmg.kpmgglobalevent,60,4,4,7,37
108,acs.tools.matheass,56,2,3,3,44
109,abcom.com.timeconverter,69,8,7,7,31
110,a2z.Mobile.Event3649,58,3,5,10,34
111,air.com.amihanya.Pray,56,2,4,4,42
112,air.BJC,60,4,5,6,37
113,air.Candybarcupcakes,60,4,5,6,37
114,abstractionvideolwp.led.com,62,5,5,8,34
115,air.burninfree,52,0,1,1,50
116,air.ajazgames.santaiceescape,58,3,6,6,37
117,abcom.istom.lovelywallpaper,54,1,6,8,37
118,air.CheerfulGirlMatching,60,4,5,6,37
119,air.bullstudios.princessdoctorr,67,7,5,8,33
120,air.ajazgames.motorescape,58,3,6,6,37
121,air.ajazgames.babysnailescape,58,3,6,6,37
122,air.com.applauz.legominifigures,58,3,5,6,38
123,a.b.wassim.guide,58,3,5,4,40
124,air.bullstudios.mermaiddoctor,58,3,6,7,36
125,air.Archerfree,54,1,4,3,44
126,air.AvmGames.MapleHouseEscape,54,1,4,5,42
127,air.br.com.pifpaf.mobile,62,5,6,7,34
128,afkari.io.kalimathobei,58,3,5,6,38
129,air.A43XLIII,52,0,1,1,50
130,air.ChristmasPuddingCakePops,58,3,5,4,40
131,acne.blogtreat,60,4,6,6,36
132,air.com.aquariumdeathstickman,58,3,6,7,36
133,aboutdharma.com,69,8,7,7,31
134,abd.abdallah.igli5,69,8,7,7,31
135,a2z.Mobile.Event4086,59,3,6,9,35
136,aidapp.newsportalodisha,58,3,6,4,39
137,acquadinepi.erioni.al,54,1,1,2,48
138,action.aspirvictorymanagement.flappy.dragon.dash.jungle,54,1,4,8,39
139,aerostone.bigear,54,1,3,3,45
140,ab4tec.com.chronometerandtimer,58,3,5,5,39
141,afzkl.development.ShoppingList,56,2,5,4,41
142,adyourself.tomorrow,58,3,6,5,38
143,ac.robinson.chameleonnotifier,56,2,2,8,40
144,air.brightest.yetiextrememotocross,58,3,5,6,38
145,air.com.animatedsoftware.PavlovsDog,63,5,5,6,37
146,air.br.com.netpoint.integravconf,61,4,6,7,36
147,air.br.com.netpoint.apptvunilever,59,3,6,7,37
148,air.Astro,58,3,4,3,42
149,agurapps.games.BallAndPaddles,54,1,4,5,42
150,air.br.com.netpoint.aasp,63,5,6,7,35
151,a2works.com.br.battery,58,3,5,4,40
152,ac.rj.staff,66,7,5,5,35
153,air.air.lido.LidoMobile,52,0,1,1,50
154,air.ajazgames.escapesnapperfish,58,3,6,6,37
155,ac.robinson.mediatablet,54,1,1,5,45
156,air.CarolAndroid,58,3,4,3,42
157,air.br.com.iasoft.cc2002.tablet.A2014,52,0,1,1,50
158,adult.coloring.book.zendalas,60,4,5,6,37
159,air.brightest.stuntratunderground,58,3,5,7,37
160,air.br.com.cc2002.tablet.free.A2013,52,0,1,1,50
161,air.ajazzgames.escapeallhallowseve,58,3,6,6,37
162,a2z.Mobile.Event4208,59,3,6,9,35
163,ageagebatsugame.taro,58,3,5,5,39
164,ahmad.appiques.mtdm,58,3,6,5,38
165,acs.tools.preisvergleich,54,1,3,2,46
166,air.ajazgames.escapekindnessthanksgiving,58,3,6,6,37
167,air.com.absolutist.match3puzzle.bubblezbubbledefence,60,4,6,7,35
168,air.babyemmachristmasdressup,54,1,4,2,45
169,air.Autism.Things,56,2,1,1,48
170,aave.lifebarometer,54,1,5,5,41
171,air.Airshooting,60,4,5,6,37
172,air.apps.NewsEnterprise.deutschezeitungen,56,2,4,4,42
173,agurapps.games.amazingmemory,54,1,4,5,42
174,ac.omonoia.nic,54,1,3,1,47
175,air.cindycakemakerlite,60,4,5,6,37
176,air.air.Sokoban3D,58,3,5,3,41
177,air.air.lyl.ThreeKingdomsFT,71,9,6,6,32
178,air.air.FlashPunk,54,1,4,3,44
179,adyourself.shakeyourfoto,52,0,1,1,50
180,air.com.alibabacave.CMemory2,67,7,6,5,35
181,air.busythings.androidapps.animalmuddle,58,3,5,3,41
182,air.ajazgames.ajaztreasurehunt2,58,3,6,6,37
183,air.br.com.netpoint.gvc,61,4,6,7,36
184,air.CarLoanCalculation,52,0,1,1,50
185,air.app.mmstudio.mmvisual.todysbabybook,58,3,5,4,40
186,ab.gamming.meteoriteWash,54,1,3,3,45
