app_name,score,features
com.cgdmk.kxeudznxk.apk,71.5,"{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"
com.prasesfee.apk,99.0,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
com.paranbijuv.aijuy.apk,77.5,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"
com.example.androiddefender2.apk,91.5,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
com.google.progress.apk,113.5,"{'critical': 3, 'warning': 3, 'notice': 3, 'info': 43}"
com.paranbijuv.aijuy.apk,77.5,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"
com.chistespicanticos.apk,75.0,"{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"
com.selfie.beauty.candy.camera.pro.apk,167.0,"{'critical': 5, 'warning': 6, 'notice': 6, 'info': 36}"
krep.itmtd.ywtjexf.apk,136.0,"{'critical': 3, 'warning': 6, 'notice': 3, 'info': 40}"
lkfabjg.cdkeddf.cigcmii.dbapcee.fnakcfp.mnfnbfk.apk,254.0,"{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"
com.plato.dovizim.apk,139.5,"{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"
com.service.usbmoniter.apk,210.5,"{'critical': 9, 'warning': 7, 'notice': 6, 'info': 31}"
operatore.italia.apk,136.0,"{'critical': 4, 'warning': 4, 'notice': 4, 'info': 42}"
com.statetss.apk,99.0,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"
com.gelini.apk,75.0,"{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"
com.pro.expert.crypto2.converter.apk,108.0,"{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"
com.c101421042723.apk,126.0,"{'critical': 3, 'warning': 4, 'notice': 4, 'info': 42}"
anu.apk,109.0,"{'critical': 2, 'warning': 4, 'notice': 2, 'info': 45}"
tv.remote.control.universal.com.apk,156.0,"{'critical': 3, 'warning': 6, 'notice': 8, 'info': 35}"
com.zmhitlte.brain.apk,98.5,"{'critical': 2, 'warning': 1, 'notice': 5, 'info': 45}"
com.mobistartapp.windows7launcher.apk,178.5,"{'critical': 5, 'warning': 7, 'notice': 7, 'info': 34}"
org.zxformat.apk,67.5,"{'critical': 0, 'warning': 1, 'notice': 2, 'info': 49}"
zzzzzz.xxxxxx.cccccc.apk,91.5,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
com.saver.batterymobi.apk,108.0,"{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"
operatore.italia.apk,159.0,"{'critical': 4, 'warning': 6, 'notice': 6, 'info': 38}"
com.loliqkzwuw.oldtf.apk,77.5,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"
com.example.androiddefender2.apk,100.0,"{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"
com.makinggames.worldtv.apk,152.0,"{'critical': 3, 'warning': 6, 'notice': 7, 'info': 36}"
com.yy.lock.unlock.fingerlock.apk,113.0,"{'critical': 4, 'warning': 2, 'notice': 2, 'info': 46}"
com.inoty.os.apk,201.0,"{'critical': 8, 'warning': 6, 'notice': 8, 'info': 30}"
com.oyws.pdu.apk,80.5,"{'critical': 1, 'warning': 1, 'notice': 3, 'info': 47}"
org.doviz.cevir.apk,139.5,"{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"
com.prasesamor.apk,75.0,"{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"
com.example.androiddefender2.apk,91.5,"{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"
jcmcagl.fhkimgf.elbdpog.mimnggd.oldmihk.gnednhl.apk,254.0,"{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"
org.merry.core.apk,148.5,"{'critical': 3, 'warning': 7, 'notice': 4, 'info': 39}"
