,app_name,combined score,combined features
0,air.apps.NewsEnterprise.voetbalnieuws.apk,58,"('Telephony Identifiers Leakage, Device Settings Harvesting', ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
1,a2works.com.br.ipva_pr.apk,59,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 2, 'warning': 6, 'notice': 3, 'info': 41}"")"
2,air.com.amazingzhus.amazingzhus.apk,57,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 1, 'warning': 5, 'notice': 6, 'info': 40}"")"
3,air.cindycakemakerlite.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"")"
4,air.charmudex.apk,55,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"")"
5,aidapp.newsportaltamilnadu.apk,64,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
6,aidapp.newsportalodisha.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"")"
7,air.com.apptaught.realestateTrial.apk,66,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 5, 'warning': 5, 'notice': 4, 'info': 39}"")"
8,agurapps.games.BallAndPaddles.apk,55,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"")"
9,air.bullstudios.princessdoctorr.apk,62,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration, Telephony Services Abuse', ""{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"")"
10,air.BodyAtlas.apk,56,"(nan, ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
11,a2works.com.br.battery.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"")"
12,air.Chemical_Place_Escape.apk,58,"('Telephony Identifiers Leakage, Device Settings Harvesting', ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
13,air.BJC.apk,66,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration, Telephony Services Abuse', ""{'critical': 5, 'warning': 7, 'notice': 6, 'info': 34}"")"
14,air.ajazgames.escapepixiedivine.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 5, 'notice': 5, 'info': 39}"")"
15,air.AIRMapViewer.apk,52,"(nan, ""{'critical': 0, 'warning': 0, 'notice': 2, 'info': 50}"")"
16,air.Christmascoloringbook3.apk,64,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 4, 'warning': 7, 'notice': 9, 'info': 33}"")"
17,adyourself.tomorrow_smog.apk,63,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 4, 'warning': 6, 'notice': 4, 'info': 38}"")"
18,air.A20rarepepes.apk,61,"(nan, ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
19,a.b.wassim.guide.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"")"
20,air.ChristmasPuddingCakePops.apk,57,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 1, 'warning': 4, 'notice': 4, 'info': 43}"")"
21,air.animations.apk,67,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 6, 'warning': 4, 'notice': 6, 'info': 36}"")"
22,air.com.alibabacave.CMemory2.apk,61,"('Telephony Identifiers Leakage, Device Settings Harvesting, Connection Interfaces Exfiltration', ""{'critical': 3, 'warning': 6, 'notice': 4, 'info': 39}"")"
23,abhishek.arcdroid.tenth.apk,59,"('Device Settings Harvesting', ""{'critical': 3, 'warning': 5, 'notice': 7, 'info': 37}"")"
24,air.Bus_Stop_Parking.apk,60,"('Telephony Identifiers Leakage, Device Settings Harvesting', ""{'critical': 3, 'warning': 7, 'notice': 4, 'info': 38}"")"
