app_name,combined score,combined features
air.apps.NewsEnterprise.voetbalnieuws.apk,124.0,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 6, 'Suspicious Connection Establishment': 1}"", ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
a2works.com.br.ipva_pr.apk,312.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 179, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 2, 'warning': 6, 'notice': 3, 'info': 41}"")"
air.com.amazingzhus.amazingzhus.apk,133.5,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 8, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 1, 'warning': 5, 'notice': 6, 'info': 40}"")"
air.cindycakemakerlite.apk,196.5,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 50, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"")"
air.charmudex.apk,73.5,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"")"
aidapp.newsportaltamilnadu.apk,408.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
aidapp.newsportalodisha.apk,394.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"")"
air.com.apptaught.realestateTrial.apk,189.5,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 35, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 5, 'warning': 5, 'notice': 4, 'info': 39}"")"
agurapps.games.BallAndPaddles.apk,94.5,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 25, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 4}"", ""{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"")"
air.bullstudios.princessdoctorr.apk,409.0,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 277, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"")"
air.BodyAtlas.apk,116.0,"('{}', ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
a2works.com.br.battery.apk,328.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 174, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"")"
air.Chemical_Place_Escape.apk,241.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 121, 'Connection Interfaces Exfiltration': 1}"", ""{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"")"
air.BJC.apk,620.5,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 439, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 5, 'warning': 7, 'notice': 6, 'info': 34}"")"
air.ajazgames.escapepixiedivine.apk,306.5,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 163, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 3, 'warning': 5, 'notice': 5, 'info': 39}"")"
air.AIRMapViewer.apk,60.0,"('{}', ""{'critical': 0, 'warning': 0, 'notice': 2, 'info': 50}"")"
air.Christmascoloringbook3.apk,268.5,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 85, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 4, 'warning': 7, 'notice': 9, 'info': 33}"")"
adyourself.tomorrow_smog.apk,514.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 359, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 4, 'warning': 6, 'notice': 4, 'info': 38}"")"
air.A20rarepepes.apk,162.0,"('{}', ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
a.b.wassim.guide.apk,341.5,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 195, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"", ""{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"")"
air.ChristmasPuddingCakePops.apk,165.0,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 52, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 4, 'info': 43}"")"
air.animations.apk,170.0,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 6, 'warning': 4, 'notice': 6, 'info': 36}"")"
air.com.alibabacave.CMemory2.apk,208.0,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 61, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"", ""{'critical': 3, 'warning': 6, 'notice': 4, 'info': 39}"")"
abhishek.arcdroid.tenth.apk,227.5,"(""{'Device Settings Harvesting': 81, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 3, 'warning': 5, 'notice': 7, 'info': 37}"")"
air.Bus_Stop_Parking.apk,272.5,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 121, 'Connection Interfaces Exfiltration': 1}"", ""{'critical': 3, 'warning': 7, 'notice': 4, 'info': 38}"")"
