app_name,combined score,combined features
com.chistespicanticos.apk,233.5,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"")"
81a28f961a1c3f7b13b10c501920733022465166519c7c4ae1cad1441d228e11.apk,100.0,"(""{'Code Execution': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
48618153df1b2b5be3f83e6e1fa6aa5f517b173b10f3f6e925d1598a22b459e1.apk,113.5,"(""{'Device Settings Harvesting': 32, 'Suspicious Connection Establishment': 4}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
79866c174dd807159ea626f530ed610ee9330f8c44aff6c29c35febf19ec21f9.apk,154.5,"(""{'Device Settings Harvesting': 63}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
3e60b0f540a13c32b66cef6436052c7b1b35d003679fc86cba8edf4a5a3ebabd.apk,165.5,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 41, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 7}"", ""{'critical': 3, 'warning': 3, 'notice': 3, 'info': 43}"")"
4593635ba742e49a64293338a383f482f0f1925871157b5c4b1222e79909e838.apk,550.5,"(""{'Telephony Identifiers Leakage': 8, 'Device Settings Harvesting': 456, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 2, 'Code Execution': 2}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
4656aa68ad30a5cf9bcd2b63f21fba7cfa0b70533840e771bd7d6680ef44794b.apk,91.0,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 5, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 3}"", ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
com.funnyys.apk,299.0,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 5, 'warning': 6, 'notice': 6, 'info': 36}"")"
b2c2f74772c5057451668f144191f8d7191e5f98dbc6b6533698af5aa2baabc8.apk,142.0,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 3, 'warning': 6, 'notice': 3, 'info': 40}"")"
82afc2da4ea0404a3a1fa9756b3c85853a63fd26d657fa1d9fcd6c0955e2a84e.apk,510.0,"(""{'Telephony Identifiers Leakage': 14, 'Device Settings Harvesting': 235, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Code Execution': 4}"", ""{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"")"
3d3db692be45e7bda3694b9f47367c44ecdfcd095328a939442f288b6b5c77e4.apk,562.5,"(""{'Device Settings Harvesting': 419, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 2}"", ""{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"")"
brother.apk,219.5,"(""{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 9, 'warning': 7, 'notice': 6, 'info': 31}"")"
14d9f1a92dd984d6040cc41ed06e273e.apk,379.0,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 231, 'Connection Interfaces Exfiltration': 2, 'Audio Video Eavesdropping': 3, 'Pim Data Leakage': 1, 'Code Execution': 1}"", ""{'critical': 4, 'warning': 4, 'notice': 4, 'info': 42}"")"
com.chistescortos.apk,261.0,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
com.statetss.apk,207.0,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
org.benews.apk,191.0,"(""{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 79, 'Connection Interfaces Exfiltration': 2, 'Code Execution': 1}"", ""{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"")"
642da73bc4c78004304dfed2e6e704ebb352ff9f1db19a19cc2296c86164e723.apk,132.0,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1}"", ""{'critical': 3, 'warning': 4, 'notice': 4, 'info': 42}"")"
com.imagepets.apk,241.0,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 2, 'warning': 4, 'notice': 2, 'info': 45}"")"
19162b063503105fdc1899f8f653b42d1ff4fcfcdf261f04467fad5f563c0270.apk,1017.0,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 842, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1, 'Code Execution': 5}"", ""{'critical': 3, 'warning': 6, 'notice': 8, 'info': 35}"")"
26fef238028ee4b5b8da631c77bfb44ada3d5db8129c45dea5df6a51c9ea5f55.apk,280.5,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 166, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 4, 'Pim Data Leakage': 1, 'Code Execution': 2}"", ""{'critical': 2, 'warning': 1, 'notice': 5, 'info': 45}"")"
03122ade6371753933299d563bf26bcce3e54c1b467465bbf7a49dc9a6c13777.apk,519.5,"(""{'Telephony Identifiers Leakage': 13, 'Device Settings Harvesting': 318, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 4, 'Code Execution': 3}"", ""{'critical': 5, 'warning': 7, 'notice': 7, 'info': 34}"")"
fakeAV_934527F8EBB5C1088009CC9329DC3DE6_LabelReader.apk,110.5,"(""{'Device Settings Harvesting': 41, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 0, 'warning': 1, 'notice': 2, 'info': 49}"")"
E2BDCFE5796CD377D41F3DA3838865AB062EA7AF9E1E4424B1E34EB084ABEC4A.apk,91.5,"('{}', ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
97846306c8e796ba5eb8ddaf47ef4b38eedf900d955923907cb95fde832a1204.apk,238.0,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 115, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1, 'Pim Data Leakage': 1, 'Code Execution': 6}"", ""{'critical': 2, 'warning': 4, 'notice': 2, 'info': 44}"")"
com.laughtter.apk,291.0,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 4, 'warning': 6, 'notice': 6, 'info': 38}"")"
9d76af8c314e9904906218974c6ae6eec055932aad0292de3554bf5a86371b5b.apk,77.5,"('{}', ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
7c39c96688b3d95e920035bc0217047a0a4629e42052d9d5ed655ccddabb42ee.apk,106.0,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 46}"")"
bed3e665d2b5fd53aab19b8a62035a5d9b169817adca8dfb158e3baf71140ceb.apk,1020.0,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 849, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1, 'Code Execution': 5}"", ""{'critical': 3, 'warning': 6, 'notice': 7, 'info': 36}"")"
0f5f1409b1ebbee4aa837d20479732e11399d37f05b47b5359dc53a4001314e5.apk,309.0,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 180, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 4, 'Pim Data Leakage': 1, 'Code Execution': 2}"", ""{'critical': 4, 'warning': 2, 'notice': 2, 'info': 46}"")"
fafaebe042ba9c59b2c3f65f43774cdb5369f838469e133a7c26e824f6d20cc6.apk,201.0,"('{}', ""{'critical': 8, 'warning': 6, 'notice': 8, 'info': 30}"")"
com.fdhgkjhrtjkjbx.model.apk,86.5,"(""{'Device Settings Harvesting': 1, 'Code Execution': 5}"", ""{'critical': 1, 'warning': 1, 'notice': 3, 'info': 47}"")"
aba17776b98b8660b50d2a4ef9aa0a79e17f22a47a76b7658b3981f7bddeadd6.apk,937.5,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 771, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"")"
CEE6584CD2E01FAB5F075F94AF2A0CE024ED5E4F2D52E3DC39F7655C736A7232.apk,75.0,"('{}', ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
fakeAV_ED1E0689F93B0C57E403489BB5338F59_LabelReader.apk,133.5,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
com.prasesfee.apk,386.0,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"")"
com.cattss.apk,280.5,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 3, 'warning': 7, 'notice': 4, 'info': 39}"")"
fakeAV_75B8F9DBB1CD79B7FC074F7F499150CF_LabelReader.apk,204.0,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
fakeAV_36B177910C99872B33E90DEA71B16617_LabelReader.apk,133.5,"(""{'Device Settings Harvesting': 40, 'Connection Interfaces Exfiltration': 2}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
0de832302ec11bcfda465e903fcd66b2a0bcc8c2b627b43196ef76ca02899765.apk,71.5,"('{}', ""{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"")"
krep.itmtd.ywtjexf-1.apk,237.0,"(""{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 67, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 2}"", ""{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"")"
d93e93848537714b00d37ddb916141d90c35960996205878c2fdbd8374650e63.apk,318.0,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 119, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 5, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 4, 'warning': 6, 'notice': 9, 'info': 34}"")"
30208552a677cce35d4863d3d85b857848fc6b33df44196bfd26a7142f586035.apk,247.0,"(""{'Telephony Identifiers Leakage': 15, 'Device Settings Harvesting': 119, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 5, 'Pim Data Leakage': 3, 'Code Execution': 4}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
