app_name,combined score,combined features
Chistes picantes,0.22499911605595957,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 0, 'warning': 1, 'notice': 3, 'info': 48}"")"
Secret Lock,0.18018020672504628,"(""{'Code Execution': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
Atualização WA [4ed5],0.11052836281777789,"(""{'Device Settings Harvesting': 32, 'Suspicious Connection Establishment': 4}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
156.YılMobil,0.213245606798119,"(""{'Device Settings Harvesting': 63}"", ""{'critical': 1, 'warning': 3, 'notice': 2, 'info': 46}"")"
Pro Selfie Camera,0.31310476504767404,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 41, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 7}"", ""{'critical': 3, 'warning': 3, 'notice': 3, 'info': 43}"")"
Win7Launcher,0.6139845840159346,"(""{'Telephony Identifiers Leakage': 8, 'Device Settings Harvesting': 456, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 2, 'Code Execution': 2}"", ""{'critical': 1, 'warning': 1, 'notice': 2, 'info': 49}"")"
一键优化大师,0.07469916437823379,"(""{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 5, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 3}"", ""{'critical': 0, 'warning': 2, 'notice': 2, 'info': 48}"")"
Funnyys,0.6789279526677431,"(""{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 5, 'warning': 6, 'notice': 6, 'info': 36}"")"
Android 系统服务,0.3751988874091012,"(""{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 3, 'warning': 6, 'notice': 3, 'info': 40}"")"
Notify Ios,1.2667978832486715,"(""{'Telephony Identifiers Leakage': 14, 'Device Settings Harvesting': 235, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Code Execution': 4}"", ""{'critical': 12, 'warning': 8, 'notice': 8, 'info': 26}"")"
Döviz Çevirici,0.8735164472521126,"(""{'Device Settings Harvesting': 419, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 2}"", ""{'critical': 4, 'warning': 3, 'notice': 7, 'info': 39}"")"
System Certificate,0.7597292774052117,"(""{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"", ""{'critical': 9, 'warning': 7, 'notice': 6, 'info': 31}"")"
AndroidFramework,0.648240362063479,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 231, 'Connection Interfaces Exfiltration': 2, 'Audio Video Eavesdropping': 3, 'Pim Data Leakage': 1, 'Code Execution': 1}"", ""{'critical': 4, 'warning': 4, 'notice': 4, 'info': 42}"")"
Chistes Cortos,0.36566407769278825,"(""{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"", ""{'critical': 1, 'warning': 4, 'notice': 2, 'info': 45}"")"
