,app_name,score,features
0,air.apps.NewsEnterprise.surinamenieuws.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
1,aesthetic.developers.flyingbirdy.apk,56,"{'critical': 2, 'warning': 6, 'notice': 3, 'info': 41}"
2,air.Chemical.apk,54,"{'critical': 1, 'warning': 5, 'notice': 6, 'info': 40}"
3,air.brightest.chinatractorracing2.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
4,air.air.HTML5MobileApp.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
5,air.br.com.netpoint.gdp.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
6,air.BestEscape82WaterPool.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
7,air.agara.games.ChessmasterFree.apk,63,"{'critical': 5, 'warning': 5, 'notice': 4, 'info': 39}"
8,air.carlene.ZombieVirus.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
9,air.ca.ax2.holidaySnapshot.apk,58,"{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"
10,air.apps.NewsEnterprise.gazeteler.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
11,air.ajazgames.colorsquareescape.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
12,air.BasketballHustleForCel.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
13,air.ArabicLetterBox.apk,62,"{'critical': 5, 'warning': 7, 'notice': 6, 'info': 34}"
14,air.co.yapps.ezan.apk,58,"{'critical': 3, 'warning': 5, 'notice': 5, 'info': 39}"
15,act.activity.apk,52,"{'critical': 0, 'warning': 0, 'notice': 2, 'info': 50}"
16,ae.brandsforless.android.apk,61,"{'critical': 4, 'warning': 7, 'notice': 9, 'info': 33}"
17,air.br.com.netpoint.integraeventos.apk,60,"{'critical': 4, 'warning': 6, 'notice': 4, 'info': 38}"
18,air.br.com.netpoint.remateweb.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
19,air.com.applauz.wutangme.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
20,air.cellphoneescape.apk,54,"{'critical': 1, 'warning': 4, 'notice': 4, 'info': 43}"
21,aidc.mx.efireport.apk,64,"{'critical': 6, 'warning': 4, 'notice': 6, 'info': 36}"
22,aidapp.newsportalhimachalpradesh.apk,58,"{'critical': 3, 'warning': 6, 'notice': 4, 'info': 39}"
23,air.com.alchemiagames.offside.apk,58,"{'critical': 3, 'warning': 5, 'notice': 7, 'info': 37}"
24,air.babyshapes.apk,58,"{'critical': 3, 'warning': 7, 'notice': 4, 'info': 38}"
25,ahmed.restau.apk,63,"{'critical': 5, 'warning': 6, 'notice': 6, 'info': 36}"
26,adampinsky.com.stormy.apk,52,"{'critical': 0, 'warning': 0, 'notice': 2, 'info': 50}"
27,air.atasaati.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
28,air.BlackjackCity.apk,60,"{'critical': 4, 'warning': 6, 'notice': 6, 'info': 36}"
29,air.AJAZGAMES.escapeabandonedgreyshades.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
30,air.A3bibe.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
31,air.com.apptaught.MEDpro.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
32,air.br.com.netpoint.vconf.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
33,air.BeautyTipsinTamil.apk,60,"{'critical': 4, 'warning': 5, 'notice': 6, 'info': 37}"
34,a.akakao.bong.apk,52,"{'critical': 0, 'warning': 1, 'notice': 2, 'info': 49}"
35,air.ChaletGrandCerfEscape.apk,54,"{'critical': 1, 'warning': 4, 'notice': 5, 'info': 42}"
36,air.br.com.helme.bitbitrobotandroid.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
37,a2works.com.br.ipva.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
38,ads.storestory.be.blackdragon.apk,54,"{'critical': 1, 'warning': 3, 'notice': 5, 'info': 43}"
39,air.ajazgames.escapepickypicnic.apk,60,"{'critical': 4, 'warning': 6, 'notice': 6, 'info': 36}"
40,air.animations.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
41,air.com.aetrex.aetrexretailapp.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
42,abhishek.arcdroid.tenth.apk,52,"{'critical': 0, 'warning': 0, 'notice': 1, 'info': 51}"
43,acs.borntf.ncs.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
44,air.apps.NewsEnterprise.voetbalnieuws.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
45,ah.woeid.apk,61,"{'critical': 4, 'warning': 7, 'notice': 6, 'info': 36}"
46,adikar.com.photogifmaker.apk,62,"{'critical': 5, 'warning': 5, 'notice': 6, 'info': 36}"
47,air.com.amazingzhus.amazingzhus.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
48,adtech.chitchat.apk,61,"{'critical': 4, 'warning': 5, 'notice': 8, 'info': 36}"
49,air.com.applauz.brickpic.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
50,air.A40haditsakhirzaman.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
51,air.br.com.buracojustificadomano.mobile.apk,62,"{'critical': 5, 'warning': 6, 'notice': 7, 'info': 34}"
52,air.com.abecedaire.JapaneseBrush.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
53,air.br.com.epagri.ciram.apk,58,"{'critical': 3, 'warning': 4, 'notice': 4, 'info': 41}"
54,air.com.applauz.drizzyviews.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
55,adsprotech.games.ball.shooter.two.apk,56,"{'critical': 2, 'warning': 6, 'notice': 5, 'info': 39}"
56,air.bg.teracomm.vivablitz.apk,63,"{'critical': 5, 'warning': 7, 'notice': 6, 'info': 35}"
57,addis.keyboard.apk,57,"{'critical': 2, 'warning': 4, 'notice': 6, 'info': 41}"
58,a2z.Mobile.Event3478.apk,58,"{'critical': 3, 'warning': 5, 'notice': 11, 'info': 33}"
59,air.Christmascoloringbook3.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
60,air.Bus.apk,54,"{'critical': 1, 'warning': 5, 'notice': 6, 'info': 40}"
61,adrianoferraguto.oraesatta.apk,56,"{'critical': 2, 'warning': 2, 'notice': 3, 'info': 45}"
62,air.air.monsterbraingames.cutit.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
63,air.com.aminocookinchklo.selasaharablila.apk,60,"{'critical': 4, 'warning': 5, 'notice': 6, 'info': 37}"
64,adsindy.com.terla.apk,58,"{'critical': 3, 'warning': 6, 'notice': 5, 'info': 38}"
65,air.apps.NewsEnterprise.lesjournauxenfrancais.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
66,air.apps.NewsEnterprise.indianewspapers.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
67,air.apps.NewsEnterprise.canadanewspapers.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
68,air.air.Bread.apk,58,"{'critical': 3, 'warning': 4, 'notice': 3, 'info': 42}"
69,air.ajazgames.escapepixiedivine.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
70,air.BabyBearSurgerySimulator.apk,60,"{'critical': 4, 'warning': 6, 'notice': 6, 'info': 36}"
71,air.AngryNuts.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
72,air.com.applaudsolutions.emp.EmployeeCenterMobile.apk,54,"{'critical': 1, 'warning': 1, 'notice': 2, 'info': 48}"
73,air.apps.NewsEnterprise.mediatakeout.apk,56,"{'critical': 2, 'warning': 4, 'notice': 4, 'info': 42}"
74,ac.robinson.mediaphone.apk,54,"{'critical': 1, 'warning': 1, 'notice': 4, 'info': 46}"
75,air.br.com.netpoint.integragestao.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
76,air.A20rarepepes.apk,56,"{'critical': 2, 'warning': 1, 'notice': 2, 'info': 47}"
77,ae.gov.dubaicustoms.mobile.apk,54,"{'critical': 1, 'warning': 2, 'notice': 1, 'info': 48}"
78,afd.app.ansaar.afd.apk,60,"{'critical': 4, 'warning': 4, 'notice': 5, 'info': 39}"
79,air.ChiralCube.apk,54,"{'critical': 1, 'warning': 4, 'notice': 6, 'info': 41}"
80,air.BadjaoGirl.apk,58,"{'critical': 3, 'warning': 5, 'notice': 6, 'info': 38}"
81,air.BodyAtlas.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
82,abd.abdallah.uptodate.youtube.apk,69,"{'critical': 8, 'warning': 7, 'notice': 7, 'info': 31}"
83,adone.daily.call.apk,54,"{'critical': 1, 'warning': 2, 'notice': 2, 'info': 47}"
84,air.air.it.aquacode.memory.AquaMemory.apk,54,"{'critical': 1, 'warning': 4, 'notice': 3, 'info': 44}"
85,air.BabyCleaningDay2.apk,58,"{'critical': 3, 'warning': 5, 'notice': 4, 'info': 40}"
86,air.com.ami.agada.apk,58,"{'critical': 3, 'warning': 4, 'notice': 4, 'info': 41}"
87,abd.abdallah.islam.youtube.apk,69,"{'critical': 8, 'warning': 7, 'notice': 7, 'info': 31}"
88,aidapp.newsportaltamilnadu.apk,58,"{'critical': 3, 'warning': 6, 'notice': 4, 'info': 39}"
89,air.charmudex.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
90,air.ajazgames.escapegamesultan.apk,58,"{'critical': 3, 'warning': 6, 'notice': 6, 'info': 37}"
91,air.com.apptaught.realestateTrial.apk,58,"{'critical': 3, 'warning': 5, 'notice': 3, 'info': 41}"
92,afk.passpal.free.apk,52,"{'critical': 0, 'warning': 3, 'notice': 3, 'info': 46}"
93,a.a.hikidashi.apk,54,"{'critical': 1, 'warning': 3, 'notice': 3, 'info': 45}"
94,a2works.com.br.ipva.apk,61,"{'critical': 4, 'warning': 6, 'notice': 7, 'info': 36}"
95,air.AIRMapViewer.apk,52,"{'critical': 0, 'warning': 1, 'notice': 1, 'info': 50}"
