app_name,score,features
air.apps.NewsEnterprise.voetbalnieuws.apk,8.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 6, 'Suspicious Connection Establishment': 1}"
a2works.com.br.ipva_pr.apk,185.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 179, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.com.amazingzhus.amazingzhus.apk,11.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 8, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.cindycakemakerlite.apk,56.0,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 50, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.charmudex.apk,10.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
aidapp.newsportaltamilnadu.apk,246.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
aidapp.newsportalodisha.apk,246.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.com.apptaught.realestateTrial.apk,38.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 35, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
agurapps.games.BallAndPaddles.apk,31.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 25, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 4}"
air.bullstudios.princessdoctorr.apk,288.0,"{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 277, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.BodyAtlas.apk,0.0,{}
a2works.com.br.battery.apk,180.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 174, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.Chemical_Place_Escape.apk,125.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 121, 'Connection Interfaces Exfiltration': 1}"
air.BJC.apk,447.0,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 439, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.ajazgames.escapepixiedivine.apk,170.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 163, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.AIRMapViewer.apk,0.0,{}
air.Christmascoloringbook3.apk,91.0,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 85, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
adyourself.tomorrow_smog.apk,365.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 359, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.A20rarepepes.apk,0.0,{}
a.b.wassim.guide.apk,201.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 195, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.ChristmasPuddingCakePops.apk,58.0,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 52, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.animations.apk,10.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.com.alibabacave.CMemory2.apk,68.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 61, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
abhishek.arcdroid.tenth.apk,83.0,"{'Device Settings Harvesting': 81, 'Connection Interfaces Exfiltration': 2}"
air.Bus_Stop_Parking.apk,125.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 121, 'Connection Interfaces Exfiltration': 1}"
aidc.mx.efireport.apk,310.0,"{'Telephony Identifiers Leakage': 2, 'Device Settings Harvesting': 304, 'Connection Interfaces Exfiltration': 2, 'Pim Data Leakage': 1, 'Code Execution': 1}"
air.apps.NewsEnterprise.mediatakeout.apk,8.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 6, 'Suspicious Connection Establishment': 1}"
ac.robinson.mediatablet.apk,38.0,"{'Device Settings Harvesting': 37, 'Code Execution': 1}"
air.br.com.netpoint.aasp.apk,389.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 382, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 1, 'Pim Data Leakage': 1}"
air.ajazgames.escapepickypicnic.apk,516.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 507, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.apps.NewsEnterprise.canadanewspapers.apk,8.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 6, 'Suspicious Connection Establishment': 1}"
air.bg.teracomm.vivablitz.apk,262.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 253, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.cellphoneescape.apk,61.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 57, 'Connection Interfaces Exfiltration': 1}"
