app_name,score,features
com.chistespicanticos.apk,162.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"
81a28f961a1c3f7b13b10c501920733022465166519c7c4ae1cad1441d228e11.apk,1.0,{'Code Execution': 1}
48618153df1b2b5be3f83e6e1fa6aa5f517b173b10f3f6e925d1598a22b459e1.apk,36.0,"{'Device Settings Harvesting': 32, 'Suspicious Connection Establishment': 4}"
79866c174dd807159ea626f530ed610ee9330f8c44aff6c29c35febf19ec21f9.apk,63.0,{'Device Settings Harvesting': 63}
3e60b0f540a13c32b66cef6436052c7b1b35d003679fc86cba8edf4a5a3ebabd.apk,52.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 41, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 7}"
4593635ba742e49a64293338a383f482f0f1925871157b5c4b1222e79909e838.apk,473.0,"{'Telephony Identifiers Leakage': 8, 'Device Settings Harvesting': 456, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 2, 'Code Execution': 2}"
4656aa68ad30a5cf9bcd2b63f21fba7cfa0b70533840e771bd7d6680ef44794b.apk,16.0,"{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 5, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 3}"
com.funnyys.apk,132.0,"{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"
b2c2f74772c5057451668f144191f8d7191e5f98dbc6b6533698af5aa2baabc8.apk,6.0,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"
82afc2da4ea0404a3a1fa9756b3c85853a63fd26d657fa1d9fcd6c0955e2a84e.apk,256.0,"{'Telephony Identifiers Leakage': 14, 'Device Settings Harvesting': 235, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Code Execution': 4}"
3d3db692be45e7bda3694b9f47367c44ecdfcd095328a939442f288b6b5c77e4.apk,423.0,"{'Device Settings Harvesting': 419, 'Connection Interfaces Exfiltration': 2, 'Suspicious Connection Establishment': 2}"
brother.apk,9.0,"{'Telephony Identifiers Leakage': 6, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 1}"
14d9f1a92dd984d6040cc41ed06e273e.apk,243.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 231, 'Connection Interfaces Exfiltration': 2, 'Audio Video Eavesdropping': 3, 'Pim Data Leakage': 1, 'Code Execution': 1}"
com.chistescortos.apk,162.0,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 150, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Audio Video Eavesdropping': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"
com.statetss.apk,132.0,"{'Telephony Identifiers Leakage': 9, 'Device Settings Harvesting': 117, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 2, 'Pim Data Leakage': 1}"
org.benews.apk,83.0,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 79, 'Connection Interfaces Exfiltration': 2, 'Code Execution': 1}"
642da73bc4c78004304dfed2e6e704ebb352ff9f1db19a19cc2296c86164e723.apk,6.0,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 1, 'Connection Interfaces Exfiltration': 1}"
