app_name,score,features
air.apps.NewsEnterprise.voetbalnieuws.apk,0.010582010582010581,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 6, 'Suspicious Connection Establishment': 1}"
a2works.com.br.ipva_pr.apk,0.2447089947089947,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 179, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.com.amazingzhus.amazingzhus.apk,0.01455026455026455,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 8, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.cindycakemakerlite.apk,0.07407407407407407,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 50, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.charmudex.apk,0.013227513227513227,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
aidapp.newsportaltamilnadu.apk,0.32539682539682535,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
aidapp.newsportalodisha.apk,0.32539682539682535,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 240, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.com.apptaught.realestateTrial.apk,0.05026455026455026,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 35, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
agurapps.games.BallAndPaddles.apk,0.041005291005291,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 25, 'Connection Interfaces Exfiltration': 1, 'Code Execution': 4}"
air.bullstudios.princessdoctorr.apk,0.38095238095238093,"{'Telephony Identifiers Leakage': 7, 'Device Settings Harvesting': 277, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.BodyAtlas.apk,0.0,{}
a2works.com.br.battery.apk,0.23809523809523808,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 174, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.Chemical_Place_Escape.apk,0.16534391534391535,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 121, 'Connection Interfaces Exfiltration': 1}"
air.BJC.apk,0.5912698412698413,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 439, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1, 'Suspicious Connection Establishment': 1}"
air.ajazgames.escapepixiedivine.apk,0.22486772486772486,"{'Telephony Identifiers Leakage': 5, 'Device Settings Harvesting': 163, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.AIRMapViewer.apk,0.0,{}
air.Christmascoloringbook3.apk,0.12037037037037036,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 85, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
adyourself.tomorrow_smog.apk,0.4828042328042328,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 359, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.A20rarepepes.apk,0.0,{}
a.b.wassim.guide.apk,0.26587301587301587,"{'Telephony Identifiers Leakage': 3, 'Device Settings Harvesting': 195, 'Connection Interfaces Exfiltration': 2, 'Telephony Services Abuse': 1}"
air.ChristmasPuddingCakePops.apk,0.07671957671957672,"{'Telephony Identifiers Leakage': 4, 'Device Settings Harvesting': 52, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
air.animations.apk,0.013227513227513227,"{'Telephony Identifiers Leakage': 1, 'Device Settings Harvesting': 7, 'Connection Interfaces Exfiltration': 1, 'Suspicious Connection Establishment': 1}"
